"optimizer","learning_rate","lr_decay","loss_function","batch_size","epochs","verbose","hidden_units","input_dim","dummy_val","model_name","run_id","dense_units","dense_dropout","lstm_units","channels","kernel_regularizer","initializer","conv_units","conv_activation","kernel_size","pool_size","conv_dropout","lstm_activation","lstm_dropout","pool_strides","dilation_rate","test_loss","test_acc","min_train_loss","max_train_acc","min_val_loss","max_val_acc"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-06-18-CNNLSTM","[512]","0.0","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.3999042892456055","0.4200000011920929","0.9233270250390759","0.6427503735138874","1.4217878587231665","0.3772455091604929"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-08-00-CNNLSTM","[512]","0.2","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.642290744781494","0.36","0.7431674316918963","0.7154957648528174","1.3648105183999222","0.38922155807594105"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-10-21-CNNLSTM","[512]","0.4","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.2421800327301025","0.5","0.9411709397719402","0.6327852515599356","1.3571172107955416","0.3932135732706911"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-12-33-CNNLSTM","[1024]","0.0","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","3.1670728397369383","0.2400000035762787","0.8368652484639105","0.6801195813757778","1.474300418071404","0.3692614782356217"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-14-47-CNNLSTM","[1024]","0.2","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.4652085208892822","0.42","0.7644118642593178","0.7075236670758276","1.3816682226405648","0.3932135730327485"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-17-14-CNNLSTM","[1024]","0.4","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.5652941226959232","0.42","0.8465776760066156","0.6706527157333518","1.3532775107496038","0.439121756665483"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-19-09-CNNLSTM","[512]","0.0","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","2.419401979446411","0.1800000002980232","1.1303676261079805","0.5246636771894416","1.3978478113810222","0.35329341347108106"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-21-38-CNNLSTM","[512]","0.2","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3503965330123902","0.4000000035762787","1.0848219631676894","0.5455904331858263","1.3384524650440484","0.377245509695864"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-25-20-CNNLSTM","[512]","0.4","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.281679754257202","0.46","1.0913891679443526","0.5470852016452301","1.3302070547244744","0.39520958089780905"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-27-47-CNNLSTM","[1024]","0.0","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","2.619885959625244","0.20000000059604645","1.126260863410102","0.5341305431585497","1.4334455650009794","0.3652694613752727"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-31-42-CNNLSTM","[1024]","0.2","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.37955614566803","0.38000000357627867","1.1358892456120262","0.5236671648782227","1.3447671674206825","0.3812375254854709"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-35-52-CNNLSTM","[1024]","0.4","[128]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3757135057449341","0.4000000023841858","1.0830875584065884","0.5560538114958518","1.3182821861522165","0.3992015971038156"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-40-32-CNNLSTM","[512]","0.0","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0.2, 0.2]","tanh","0.0","[1, 2]","1.0","1.317865982055664","0.38","1.220133311961145","0.4573991031093151","1.329286256712116","0.3772455091604929"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-44-54-CNNLSTM","[512]","0.2","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0.2, 0.2]","tanh","0.0","[1, 2]","1.0","1.4831754493713378","0.2800000011920929","1.269599766534065","0.415047334285298","1.3264530475981935","0.3532934142443948"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-49-50-CNNLSTM","[512]","0.4","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0.2, 0.2]","tanh","0.0","[1, 2]","1.0","1.265348253250122","0.5000000071525573","1.236648283791174","0.4404583954668544","1.3107681885926783","0.3692614772243652"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-54-10-CNNLSTM","[1024]","0.0","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0.2, 0.2]","tanh","0.0","[1, 2]","1.0","1.334255952835083","0.3800000011920929","1.258901252637292","0.4235176880322824","1.321228069221664","0.3712574853273685"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-59-19-CNNLSTM","[1024]","0.2","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0.2, 0.2]","tanh","0.0","[1, 2]","1.0","1.398550591468811","0.34","1.2249695209347318","0.452914798042937","1.3355716776229187","0.3692614773433365"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_23-05-13-CNNLSTM","[1024]","0.4","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0.2, 0.2]","tanh","0.0","[1, 2]","1.0","1.2616010427474975","0.46","1.2012835338333083","0.4549078225762795","1.3155164735283915","0.3772455091604929"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_23-12-00-CNNLSTM","[512]","0.0","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0.2, 0.2]","tanh","0.2","[1, 2]","1.0","1.3871043586730958","0.3600000095367432","1.309428712474688","0.3801694071494826","1.3409695768070793","0.3672654691213619"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_23-15-15-CNNLSTM","[512]","0.2","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0.2, 0.2]","tanh","0.2","[1, 2]","1.0","1.4032266283035275","0.3000000023841858","1.391432261906516","0.2874937717690061","1.3859568741507158","0.3133732539094137"
